location,region,"source.name"
"San Antonio, Uptown",sanantonio,backpage
"Downtown, San Antonio",sanantonio,backpage
"North West, San Antonio",sanantonio,backpage
Dallas,dallas,backpage
"City of Seattle, Seattle",seattle,backpage
"Atlanta, Otp North",atlanta,backpage
"Southern Maryland",washingtondc,backpage
"Northeast, Philadelphia",philadelphia,backpage
"North East, San Antonio",sanantonio,backpage
"North Central, San Antonio",sanantonio,backpage
"Center City, Philadelphia",philadelphia,backpage
"Downtown, Miami",miami,backpage
"Seattle, Shoreline",seattle,backpage
"Flushing, Queens",newyork,backpage
"Atlanta, Otp South",atlanta,backpage
"Atlanta, City of Atlanta",atlanta,backpage
"Homestead, Miami",miami,backpage
"District Of Columbia",washingtondc,backpage
"Atlanta, Otp West",atlanta,backpage
"Northern Virginia",washingtondc,backpage
"Miami, Miami Beach",miami,backpage
"Kendall, Miami",miami,backpage
"Doral, Miami",miami,backpage
Charlotte,charlotte,backpage
"Hillsborough Co, Tampa",tampa,backpage
"Atlanta, Otp East",atlanta,backpage
"Chicago, City of Chicago",chicago,backpage
"City of Houston, Houston",houston,backpage
"Chicago, Northwest Suburbs",chicago,backpage
"Las Vegas, The Strip",lasvegas,backpage
"Houston, Spring",houston,backpage
"Houston, Sugar Land",houston,backpage
"San Francisco",sf,backpage
Birmingham,birmingham,backpage
"Chicago, North Chicagoland",chicago,backpage
"Manhattan, Midtown East",newyork,backpage
"Chicago, West Chicagoland",chicago,backpage
"Hollywood, Los Angeles",losangeles,backpage
"Boston, Boston/Camb/Brook",boston,backpage
"Manhattan, Upper Manhattan",newyork,backpage
"Pinellas Co, Tampa",tampa,backpage
"Chicago, Northwest Indiana",chicago,backpage
"Chicago, South Chicagoland",chicago,backpage
"Islip, Long Island, North Hempstead",newyork,backpage
Westchester,newyork,backpage
"Boston, North Shore",boston,backpage
"Pasco Co, Tampa",tampa,backpage
Brooklyn,newyork,backpage
"Mid-City, New Orleans",neworleans,backpage
"Eastern NO, New Orleans",neworleans,backpage
"Bellevue, Seattle",seattle,backpage
"Philadelphia, Southwest",philadelphia,backpage
"St. Louis",stlouis,backpage
"Islip, Long Island",newyork,backpage
Bronx,newyork,backpage
Fairfield,newyork,backpage
"Astoria, Queens",newyork,backpage
"Staten Island",newyork,backpage
"Los Angeles, Torrance",losangeles,backpage
"Jamaica, Queens",newyork,backpage
"Manhattan, Midtown West",newyork,backpage
"Los Angeles, Pasadena",losangeles,backpage
"Hempstead, Long Island",newyork,backpage
"Boston, South Shore",boston,backpage
"Charlotte, Hickory / Lenoir",charlotte,backpage
"Gardena, Los Angeles",losangeles,backpage
"Detroit, Downtown",detroit,backpage
fairfield,newyork,craigslist
"long island",newyork,craigslist
,philadelphia,craigslist
manhattan,newyork,craigslist
"palm beach co",miami,craigslist
,lasvegas,craigslist
seattle,seattle,craigslist
brooklyn,newyork,craigslist
"SF valley",losangeles,craigslist
"south shore",boston,craigslist
,lasvegas,craigslist
bronx,newyork,craigslist
"district of columbia",washingtondc,craigslist
westchester,newyork,craigslist
dallas,dallas,craigslist
"miami / dade",miami,craigslist
,lasvegas,craigslist
,charlotte,craigslist
"French Quarter / CBD, New Orleans",neworleans,backpage
"Ann Arbor, Detroit, Southfield / West",detroit,backpage
"Detroit, Downriver",detroit,backpage
"Las Vegas, North",lasvegas,backpage
"long beach / 562",losangeles,craigslist
"Germantown / Chesnut Hill, Philadelphia",philadelphia,backpage
atlanta,atlanta,craigslist
"westside-southbay",losangeles,craigslist
,lasvegas,craigslist
maryland,washingtondc,craigslist
"central LA",losangeles,craigslist
,lasvegas,craigslist
"northern virginia",washingtondc,craigslist
"broward county",miami,craigslist
"snohomish co",seattle,craigslist
,charlotte,craigslist
,lasvegas,craigslist
"boston/camb/brook",boston,craigslist
tacoma,seattle,craigslist
"otp north",atlanta,craigslist
queens,newyork,craigslist
"otp south",atlanta,craigslist
,lasvegas,craigslist
,philadelphia,craigslist
"san gabriel valley",losangeles,craigslist
,lasvegas,craigslist
,charlotte,craigslist
"Galveston, Galveston/Webster/Dickinson, Houston, Pasadena",houston,backpage
"El Paso",elpaso,backpage
"Baytown, Houston",houston,backpage
"North, Philadelphia",philadelphia,backpage
,lasvegas,craigslist
,lasvegas,craigslist
,philadelphia,craigslist
"fort worth",dallas,craigslist
,lasvegas,craigslist
,philadelphia,craigslist
"mid cities",dallas,craigslist
,lasvegas,craigslist
,lasvegas,craigslist
"Hialeah, Miami",miami,backpage
"north shore",boston,craigslist
"Seattle, Tukwila",seattle,backpage
"Atlanta, Otp East, Otp North",atlanta,backpage
"south king",seattle,craigslist
,lasvegas,craigslist
"north DFW",dallas,craigslist
,charlotte,craigslist
,lasvegas,craigslist
"metro west",boston,craigslist
,philadelphia,craigslist
,lasvegas,craigslist
,lasvegas,craigslist
